iter	Passed	Remaining
0	1	153
1	2	133
2	3	126
3	4	115
4	5	112
5	6	107
6	7	103
7	8	102
8	9	100
9	11	99
10	12	100
11	13	100
12	14	99
13	15	97
14	16	96
15	17	94
16	19	92
17	20	91
18	21	90
19	22	88
20	23	87
21	24	85
22	25	84
23	26	82
24	27	82
25	28	81
26	29	80
27	30	78
28	31	77
29	32	76
30	33	74
31	34	73
32	35	72
33	36	71
34	38	70
35	39	69
36	40	68
37	41	67
38	42	66
39	43	65
40	44	63
41	44	61
42	45	60
43	46	59
44	47	58
45	48	57
46	49	56
47	50	55
48	51	54
49	52	52
50	53	51
51	54	50
52	56	49
53	57	48
54	57	47
55	58	46
56	59	45
57	60	44
58	62	43
59	63	42
60	64	40
61	65	39
62	66	38
63	67	37
64	68	36
65	69	35
66	70	34
67	71	33
68	72	32
69	73	31
70	75	30
71	76	29
72	77	28
73	78	27
74	79	26
75	80	25
76	81	24
77	82	23
78	83	22
79	84	21
80	85	20
81	86	19
82	87	17
83	88	16
84	89	15
85	90	14
86	91	13
87	93	12
88	94	11
89	95	10
90	96	9
91	97	8
92	98	7
93	99	6
94	101	5
95	102	4
96	104	3
97	105	2
98	106	1
99	107	0
