iter	Passed	Remaining
0	159	159462
1	161	80629
2	163	54405
3	165	41263
4	167	33357
5	169	28090
6	171	24367
7	174	21587
8	176	19401
9	178	17625
10	179	16170
11	181	14980
12	184	14005
13	186	13161
14	188	12404
15	191	11762
16	193	11181
17	195	10654
18	197	10176
19	200	9805
20	202	9442
21	204	9111
22	207	8799
23	209	8515
24	211	8245
25	213	7996
26	215	7775
27	218	7577
28	219	7359
29	221	7167
30	223	6994
31	225	6823
32	227	6671
33	230	6535
34	231	6396
35	233	6263
36	236	6144
37	238	6025
38	239	5907
39	241	5799
40	242	5683
41	244	5574
42	246	5485
43	248	5400
44	250	5312
45	252	5229
46	254	5162
47	256	5085
48	258	5010
49	259	4935
50	261	4858
51	263	4796
52	265	4736
53	266	4675
54	268	4617
55	270	4561
56	272	4506
57	273	4443
58	274	4383
59	275	4321
60	277	4271
61	279	4224
62	281	4181
63	282	4138
64	284	4095
65	286	4055
66	288	4017
67	289	3969
68	291	3926
69	292	3889
70	294	3857
71	296	3826
72	298	3794
73	300	3762
74	302	3727
75	304	3704
76	306	3672
77	308	3643
78	309	3606
79	310	3567
80	311	3532
81	312	3500
82	313	3463
83	315	3437
84	316	3408
85	317	3378
86	318	3347
87	319	3315
88	320	3283
89	321	3252
90	322	3223
91	323	3192
92	324	3163
93	325	3139
94	326	3113
95	328	3095
96	330	3074
97	331	3049
98	332	3023
99	333	3005
100	335	2989
101	336	2965
102	338	2945
103	339	2927
104	340	2904
105	341	2881
106	342	2860
107	343	2840
108	344	2819
109	345	2796
110	346	2773
111	347	2752
112	348	2731
113	348	2712
114	381	2935
115	383	2920
116	388	2929
117	389	2907
118	390	2889
119	391	2869
120	392	2850
121	394	2836
122	396	2827
123	397	2810
124	399	2794
125	400	2778
126	401	2758
127	402	2740
128	403	2722
129	404	2704
130	404	2686
131	405	2669
132	406	2651
133	407	2635
134	408	2618
135	409	2602
136	410	2586
137	411	2571
138	412	2557
139	414	2543
140	414	2528
141	415	2511
142	416	2496
143	417	2482
144	418	2468
145	419	2454
146	420	2440
147	421	2426
148	422	2413
149	423	2400
150	424	2387
151	425	2374
152	426	2362
153	427	2350
154	429	2339
155	430	2326
156	431	2314
157	432	2303
158	433	2291
159	434	2279
160	434	2266
161	436	2255
162	437	2244
163	438	2234
164	439	2224
165	440	2213
166	441	2203
167	442	2192
168	444	2183
169	445	2173
170	446	2162
171	447	2152
172	448	2142
173	449	2131
174	449	2120
175	450	2110
176	451	2100
177	452	2090
178	453	2080
179	454	2070
180	455	2060
181	456	2051
182	457	2042
183	458	2034
184	459	2026
185	460	2017
186	461	2007
187	462	1998
188	463	1989
189	464	1980
190	465	1972
191	466	1963
192	467	1955
193	468	1946
194	469	1938
195	470	1930
196	471	1922
197	472	1914
198	474	1908
199	475	1901
200	476	1893
201	477	1886
202	478	1878
203	479	1871
204	480	1863
205	481	1856
206	482	1849
207	484	1843
208	485	1835
209	486	1828
210	487	1821
211	488	1814
212	489	1807
213	490	1800
214	491	1793
215	492	1786
216	493	1779
217	494	1772
218	495	1765
219	496	1758
220	497	1751
221	497	1744
222	498	1738
223	499	1731
224	501	1725
225	501	1719
226	502	1712
227	504	1706
228	505	1700
229	506	1694
230	507	1687
231	508	1681
232	508	1675
233	509	1668
234	510	1662
235	511	1656
236	512	1650
237	513	1643
238	514	1637
239	515	1631
240	516	1625
241	517	1619
242	518	1614
243	519	1608
244	520	1603
245	521	1598
246	522	1592
247	523	1586
248	524	1580
249	524	1574
250	525	1569
251	526	1563
252	527	1558
253	528	1552
254	529	1547
255	530	1541
256	531	1536
257	532	1530
258	533	1525
259	533	1519
260	535	1515
261	536	1510
262	537	1505
263	538	1499
264	538	1494
265	539	1489
266	540	1484
267	541	1479
268	542	1474
269	543	1469
270	544	1464
271	545	1460
272	546	1455
273	547	1450
274	548	1446
275	549	1442
276	551	1438
277	552	1434
278	553	1429
279	554	1424
280	555	1420
281	555	1415
282	556	1410
283	557	1406
284	558	1401
285	559	1397
286	560	1392
287	561	1388
288	562	1383
289	563	1379
290	564	1375
291	565	1370
292	566	1367
293	568	1364
294	569	1359
295	569	1355
296	570	1351
297	571	1347
298	572	1343
299	573	1338
300	574	1334
301	575	1330
302	576	1326
303	577	1322
304	578	1318
305	579	1314
306	580	1311
307	582	1307
308	583	1303
309	584	1300
310	585	1296
311	586	1292
312	587	1288
313	587	1284
314	588	1280
315	589	1276
316	590	1272
317	591	1268
318	592	1265
319	593	1261
